-0.828583 -0.512493 0.783604
-0.879542 -0.690418 0.836404
-0.885775 -0.833624 0.981682
-0.880621 -0.877719 1.13387
-0.855248 -0.841634 1.28274
-0.731136 -0.81517 1.38523
-0.583576 -0.683833 1.44319
-0.442315 -0.592901 1.4869
-0.350627 -0.458562 1.49164
-0.20428 -0.464133 1.53873
-0.152252 -0.39908 1.51217
-0.137759 -0.333203 1.50719
-0.152112 -0.335632 1.49399
-0.196048 -0.427919 1.47417
-0.285503 -0.59948 1.4402
-0.403682 -0.689007 1.38094
-0.524703 -0.716061 1.36248
-0.62073 -0.682301 1.34306
-0.708835 -0.7347 1.35678
-0.754629 -0.706858 1.32358
-0.823013 -0.636747 1.26943
-0.876329 -0.554591 1.16893
-0.895366 -0.457717 1.05478
-0.870568 -0.383958 0.926401
-0.811226 -0.267608 0.834888
-0.723862 -0.0900788 0.799011
-0.64318 0.145325 0.832597
-0.592085 0.437797 0.869294
-0.627456 0.652228 0.941686
-0.699984 0.784414 0.979138
-0.734457 0.794311 1.10725
-0.750997 0.682356 1.15218
-0.769123 0.583064 1.11333
-0.793013 0.466342 1.03816
-0.760855 0.379606 0.976794
-0.75334 0.237035 0.921817
-0.717709 0.11173 0.88636
-0.753933 -0.0668879 0.863573
-0.785058 -0.230158 0.859552
-0.871976 -0.362774 0.900322
