filname,subject,session,g1,g2,g3,g4,g5,g6,g7,g8,accuracy,w,at,alpha
data/marije_0.dat,mari,1,0.943052,0.952915,0.926097,0.83642,0.884354,0.909297,0.963049,0.917051,0.916529,20,0.2,0.5
data/dan_0.dat,dan_,1,0.950893,0.920177,0.793333,0.577844,0.975556,0.975717,0.969027,0.973214,0.89197,20,0.2,0.6
data/jan_0.dat,jan_,1,0.95354,0.920705,0.922222,0.952941,0.911308,0.973451,0.980088,0.966814,0.947634,20,0.2,0.6
data/lien_0.dat,lien,1,0.929204,0.955752,0.988938,0.967456,0.886918,0.922222,0.902655,0.944568,0.937214,20,0.2,0.6
data/maki_0.dat,maki,1,0.931111,0.960177,0.831858,0.99115,0.920354,0.971239,0.91796,0.942222,0.933259,20,0.2,0.6
data/marco_0.dat,marc,1,0.957684,0.984234,0.964523,0.930931,0.911964,0.879733,0.876993,0.956916,0.932872,20,0.2,0.6
data/nico_0.dat,nico,1,0.964758,0.928889,0.966814,0.893491,0.826667,0.837778,0.942478,0.956044,0.914615,20,0.2,0.6
data/suzanne_0.dat,suza,1,0.957778,0.945946,0.936508,0.920588,0.906667,0.975336,0.957399,0.960089,0.945039,20,0.2,0.6
data/mirjam_0.dat,mirj,1,0.776805,0.899777,0.897778,0.781711,0.842222,0.852097,0.668889,0.915929,0.829401,20,0.2,0.6
data/marije_0.dat,mari,1,0.938497,0.955157,0.916859,0.817901,0.886621,0.904762,0.963049,0.907834,0.911335,20,0.2,0.6
data/dan_0.dat,dan_,1,0.950893,0.920177,0.788889,0.565868,0.975556,0.975717,0.969027,0.975446,0.890197,20,0.2,0.7
data/jan_0.dat,jan_,1,0.95354,0.920705,0.924444,0.955882,0.911308,0.969027,0.980088,0.969027,0.948003,20,0.2,0.7
data/lien_0.dat,lien,1,0.929204,0.955752,0.99115,0.967456,0.886918,0.926667,0.902655,0.944568,0.938046,20,0.2,0.7
data/maki_0.dat,maki,1,0.928889,0.960177,0.836283,0.9941,0.922566,0.971239,0.915743,0.937778,0.933347,20,0.2,0.7
data/marco_0.dat,marc,1,0.957684,0.988739,0.964523,0.933934,0.911964,0.88196,0.879271,0.956916,0.934374,20,0.2,0.7
data/nico_0.dat,nico,1,0.964758,0.928889,0.966814,0.899408,0.826667,0.84,0.942478,0.956044,0.915632,20,0.2,0.7
data/suzanne_0.dat,suza,1,0.957778,0.948198,0.947846,0.920588,0.911111,0.973094,0.959641,0.960089,0.947293,20,0.2,0.7
data/mirjam_0.dat,mirj,1,0.776805,0.904232,0.882222,0.761062,0.842222,0.847682,0.64,0.915929,0.821269,20,0.2,0.7
data/marije_0.dat,mari,1,0.933941,0.955157,0.905312,0.811728,0.888889,0.907029,0.953811,0.90553,0.907675,20,0.2,0.7
data/dan_0.dat,dan_,1,0.950893,0.922395,0.786667,0.568862,0.977778,0.975717,0.969027,0.977679,0.891127,20,0.2,0.8
data/jan_0.dat,jan_,1,0.955752,0.918502,0.926667,0.964706,0.913526,0.964602,0.977876,0.969027,0.948832,20,0.2,0.8
data/lien_0.dat,lien,1,0.929204,0.960177,0.99115,0.961538,0.884701,0.928889,0.904867,0.944568,0.938137,20,0.2,0.8
data/maki_0.dat,maki,1,0.928889,0.960177,0.836283,0.9941,0.924779,0.975664,0.911308,0.935556,0.933344,20,0.2,0.8
data/marco_0.dat,marc,1,0.955457,0.988739,0.964523,0.933934,0.916479,0.88196,0.879271,0.956916,0.93466,20,0.2,0.8
data/nico_0.dat,nico,1,0.964758,0.928889,0.966814,0.902367,0.826667,0.842222,0.942478,0.956044,0.91628,20,0.2,0.8
