filename;trial;gestSet;setSize;accuracy;type;trainfile;phase;interpolate;reduce;alpha;avgThreshold;dipThreshold;tau;maxDelay;minDips;hbSize;
"data/dan_0.dat";0;"9 12 14 16 17 18 19 20";8;0.626925;yin;data/dan_0.dat;0;0;1;0.1;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.1;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.626925
"data/jan_0.dat";0;"9 12 14 16 17 18 19 20";8;0.575266;yin;data/jan_0.dat;0;0;1;0.1;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.1;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.575266
"data/lien_0.dat";0;"9 12 14 16 17 18 19 20";8;0.664375;yin;data/lien_0.dat;0;0;1;0.1;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.1;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.664375
"data/maki_0.dat";0;"9 12 14 16 17 18 19 20";8;0.704085;yin;data/maki_0.dat;0;0;1;0.1;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.1;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.704085
"data/marco_0.dat";0;"9 12 14 16 17 18 19 20";8;0.686092;yin;data/marco_0.dat;0;0;1;0.1;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.1;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.686092
"data/nico_0.dat";0;"9 12 14 16 17 18 19 20";8;0.632841;yin;data/nico_0.dat;0;0;1;0.1;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.1;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.632841
"data/suzanne_0.dat";0;"9 12 14 16 17 18 19 20";8;0.619386;yin;data/suzanne_0.dat;0;0;1;0.1;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.1;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.619386
"data/mirjam_0.dat";0;"9 12 14 16 17 18 19 20";8;0.670229;yin;data/mirjam_0.dat;0;0;1;0.1;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.1;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.670229
"data/marije_0.dat";0;"9 12 14 16 17 18 19 20";8;0.720845;yin;data/marije_0.dat;0;0;1;0.1;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.1;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.720845
"data/dan_0.dat";0;"9 12 14 16 17 18 19 20";8;0.72283;yin;data/dan_0.dat;0;0;1;0.2;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.2;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.72283
"data/jan_0.dat";0;"9 12 14 16 17 18 19 20";8;0.707122;yin;data/jan_0.dat;0;0;1;0.2;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.2;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.707122
"data/lien_0.dat";0;"9 12 14 16 17 18 19 20";8;0.769942;yin;data/lien_0.dat;0;0;1;0.2;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.2;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.769942
"data/maki_0.dat";0;"9 12 14 16 17 18 19 20";8;0.789156;yin;data/maki_0.dat;0;0;1;0.2;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.2;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.789156
"data/marco_0.dat";0;"9 12 14 16 17 18 19 20";8;0.780101;yin;data/marco_0.dat;0;0;1;0.2;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.2;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.780101
"data/nico_0.dat";0;"9 12 14 16 17 18 19 20";8;0.739155;yin;data/nico_0.dat;0;0;1;0.2;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.2;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.739155
"data/suzanne_0.dat";0;"9 12 14 16 17 18 19 20";8;0.711074;yin;data/suzanne_0.dat;0;0;1;0.2;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.2;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.711074
"data/mirjam_0.dat";0;"9 12 14 16 17 18 19 20";8;0.722218;yin;data/mirjam_0.dat;0;0;1;0.2;0.01;0.2;20;150;2;1;4000;800;11;0.75;0.2;50;0.05;1;1;0.1;0;1.2;0.3;0.3;0;2;1e-005;0.0001;0.0001;0.0001;0.0001;0.722218
