,dtw.05,dtw.10,dtw.15,dtw.20,dtw.25,dtw.30,dtw.35,dtw.40,dtw.45,dtw.50,dtw.55,dtw.60,dtw.65,dtw.70,dtw.75,dtw.80,dtw.85,dtw.90,dtw.95,dtwTotal,dtw_ps.05,dtw_ps.10,dtw_ps.15,dtw_ps.20,dtw_ps.25,dtw_ps.30,dtw_ps.35,dtw_ps.40,dtw_ps.45,dtw_ps.50,dtw_ps.55,dtw_ps.60,dtw_ps.65,dtw_ps.70,dtw_ps.75,dtw_ps.80,dtw_ps.85,dtw_ps.90,dtw_ps.95,dtw_psTotal,gvf.05,gvf.10,gvf.15,gvf.20,gvf.25,gvf.30,gvf.35,gvf.40,gvf.45,gvf.50,gvf.55,gvf.60,gvf.65,gvf.70,gvf.75,gvf.80,gvf.85,gvf.90,gvf.95,gvfTotal
dan,0.8501983889,0.6309522778,0.3005952222,0.156746,0.1230159111,0.1329365889,0.2172619778,0.4335317222,0.4960317222,0.4097222778,0.282738,0.1835316667,0.1785713889,0.1617063333,0.1230158667,0.1478175,0.2886905,0.3283731111,0.2519841667,0.2998642433,0.8854449048,0.8737717143,0.8541866667,0.8139375714,0.7815234762,0.7290248095,0.6341589048,0.5683033333,0.5389823333,0.5286933333,0.5135149524,0.4709212381,0.4820736667,0.5882839048,0.7027720952,0.7604408095,0.794609,0.813780619,0.8240484762,0.6925511479,0.6517857778,0.3680555556,0.15972215,0.0833333222,0.0674603,0.17063485,0.3323413333,0.4097221667,0.4295635,0.3551588333,0.2648810556,0.1339285056,0.0714285556,0.0575396667,0.1180555833,0.1934523333,0.1964286667,0.1964285,0.1269840944,0.2308897237
jan,0.9067459444,0.6299603889,0.2192460278,0.109127,0.0853174556,0.0813491667,0.1924603167,0.5198412222,0.6428571667,0.5267856667,0.343254,0.1795634611,0.1299603833,0.0724206111,0.0525793167,0.09424595,0.2857142833,0.4097221667,0.3759920556,0.3082706623,0.9355770476,0.9324509048,0.912433,0.8781637143,0.8478067143,0.8115530476,0.7375394762,0.6351970952,0.5877480476,0.5854488095,0.565919,0.5120164286,0.5390791905,0.6399691429,0.7186976667,0.7599007143,0.7956368571,0.8148621429,0.8276595238,0.7388241328,0.6220239444,0.2648808333,0.10218255,0.0654762,0.0972222278,0.1974206222,0.3164683333,0.3968254444,0.4067459444,0.3799603333,0.2837300556,0.1547619111,0.1150792778,0.1240079222,0.1567461389,0.2678572222,0.2867063889,0.249008,0.1934523889,0.2463450389
lien,0.8888887778,0.529762,0.1765872389,0.1001984444,0.0535714278,0.0376984278,0.0892856722,0.4692461111,0.5972222222,0.4374999444,0.2251984833,0.1001984056,0.0714285833,0.0565476278,0.0535714444,0.06150795,0.1488094833,0.3174603333,0.3402778333,0.2502610743,0.9168909048,0.8995508095,0.8582790952,0.8063907619,0.7725872857,0.7261226667,0.6528944762,0.5663130476,0.5428815238,0.5523714286,0.531050381,0.4988035238,0.549679,0.6392251429,0.7151065238,0.7452395238,0.7653474762,0.796612381,0.8191885238,0.7028702356,0.6755953333,0.3253967222,0.1527777,0.1190477056,0.1329365,0.1607142056,0.2738095556,0.3353175,0.3700396111,0.3650792222,0.3115079444,0.2728175,0.2380953333,0.1984126667,0.2142857222,0.2767856667,0.3303570556,0.311508,0.3105159444,0.282894731
maki,0.8938492778,0.5327380556,0.0942460333,0.0496031667,0.0446428722,0.0208333278,0.0724206167,0.4027778333,0.5892857778,0.4871032222,0.2628967778,0.10515875,0.0873015556,0.0634920778,0.0168650722,0.0029761833,0.0724206056,0.2301587556,0.3313493333,0.2294799629,0.919781,0.9099529048,0.8893071429,0.8480361429,0.796264,0.7429199524,0.653524619,0.5648364762,0.524193381,0.5128629524,0.4982031429,0.4653554762,0.4923139048,0.5919874762,0.6929419048,0.7347135714,0.7560727143,0.743565619,0.7402569048,0.6882678571,0.6696427778,0.469246,0.3373015556,0.3234127222,0.3501985,0.3343253333,0.3849205556,0.4325397778,0.4394840556,0.4682540556,0.3988094444,0.3115078333,0.3323412222,0.3134921111,0.3333333333,0.3313492778,0.3630952222,0.3859126667,0.3799602222,0.3873224561
marc,0.8134920556,0.5307538889,0.1815475722,0.1190476556,0.0902777778,0.0863095556,0.0992062944,0.4126984444,0.5089285556,0.3779761667,0.1736110889,0.1140873,0.1091270056,0.10218255,0.0634920778,0.0337301556,0.1438492056,0.2638888889,0.2638888889,0.236215533,0.9384548095,0.9250466667,0.9072049524,0.8603775714,0.8263894762,0.7759466667,0.6891846667,0.555585619,0.503862,0.4942030476,0.4710944286,0.4316738095,0.4929892857,0.621007619,0.702990619,0.749618619,0.7761434286,0.8052458571,0.8191869048,0.7024318972,0.6656745556,0.3849206111,0.2301588167,0.1815476333,0.1736111889,0.235119,0.3353175556,0.358135,0.3710316111,0.3700397778,0.3214286667,0.2599205556,0.2103174444,0.2202381667,0.2291666111,0.281746,0.3134921667,0.2777777778,0.2817461111,0.3000731184
mari,0.6696428333,0.4077380556,0.1835317222,0.1269841111,0.1081349889,0.0902778111,0.1081349389,0.2519842222,0.3859126667,0.3571428889,0.2113096889,0.0992062833,0.0972222056,0.0962301222,0.0892857167,0.0823412889,0.1190476056,0.2261905,0.2926586667,0.210682964,0.9494298571,0.9220903333,0.876774619,0.8075637143,0.7489252381,0.7036487619,0.6182685714,0.5231860476,0.4749181905,0.4606347619,0.4358301905,0.4217269524,0.4636178095,0.5746991905,0.6527628095,0.690799,0.7151502381,0.7498711429,0.7726731905,0.6611879273,0.6746030556,0.5049602222,0.4047618333,0.3878968333,0.3551586111,0.4037699444,0.4325396667,0.4553571667,0.4712301667,0.4692460556,0.4623016667,0.3898808889,0.3601190556,0.3392856111,0.3422619444,0.3432539444,0.3363096111,0.3551588333,0.3690476111,0.4135338275
mirj,0.8462301667,0.4831349444,0.1567459222,0.1051587333,0.10615085,0.0882936667,0.0714286,0.1696428611,0.5109125556,0.6230158889,0.4583333333,0.1656744833,0.1001984,0.1101190667,0.1190476056,0.1220238167,0.12499995,0.1686508167,0.2827381111,0.2532894617,0.8923267143,0.8719255714,0.833239381,0.7685233333,0.703551,0.6180828571,0.5464902381,0.4914230952,0.4743242381,0.4713727619,0.4615525714,0.444419,0.4467716667,0.4944669524,0.5855371905,0.6426185238,0.681215381,0.7079295238,0.733094381,0.6246770727,0.6914682222,0.5178571667,0.3492063333,0.2936508889,0.2807539444,0.2837301111,0.3283729444,0.3759920556,0.4265872778,0.468254,0.4424602778,0.3839284444,0.3253968889,0.2926587778,0.2728175,0.313492,0.3511904444,0.3601189444,0.3492063889,0.3740601374
nico,0.8511903889,0.6408730556,0.1795635167,0.0535714167,0.0406746056,0.0347222278,0.0446428667,0.2152777667,0.4603174444,0.6765872222,0.6617064444,0.3541666667,0.1517857222,0.1031745556,0.09523805,0.1269841444,0.1240079778,0.1468254556,0.2083332889,0.272086464,0.920608,0.9118469048,0.903169,0.8740154286,0.845596619,0.8142527143,0.7772810952,0.7245165714,0.6814073333,0.6621519524,0.6576568571,0.6675431905,0.6790350476,0.7267067619,0.7742089524,0.8083704762,0.8138810952,0.8187498571,0.8223122857,0.7833321128,0.6746032778,0.4345237222,0.3005952778,0.2648808889,0.3144840556,0.3859126667,0.4246030556,0.468254,0.4474205,0.4950397222,0.4424603889,0.3859127222,0.3720237778,0.3045635,0.2847222222,0.3462302222,0.4325397778,0.4057539444,0.3492062778,0.3965121053
suza,0.8611111667,0.4771826667,0.0505952333,0.0238095167,0.0605158944,0.0436507889,0.04662695,0.377976,0.6488095,0.5208333889,0.2222222056,0.0525793833,0.0515873056,0.0753968222,0.0327380889,0.0228174611,0.0248015611,0.2083332778,0.3005953333,0.2159043444,0.9585062381,0.949586381,0.9309716667,0.9055141429,0.8802083333,0.8553385714,0.8086107143,0.7270104762,0.6569964286,0.6315946667,0.6011607619,0.5855604286,0.6545141905,0.7175111905,0.782399,0.8280002857,0.84956,0.8629804286,0.8795682857,0.7929259048,0.6577380556,0.3343255,0.1706347833,0.1071428889,0.1448412611,0.2063492778,0.2628968167,0.3442460556,0.3363095,0.3065476111,0.2281745556,0.1319443722,0.1091269444,0.0942460444,0.125,0.2093253333,0.2738095,0.3273809444,0.2936507222,0.2454573772
